userId,factor_0,factor_1,factor_2
1,0.8053716294280828,0.09355007700318864,0.10107829356872859
2,0.8031892292988652,0.08261876767947296,0.11419200302166192
3,0.7893467479005414,0.0940731423449425,0.11658010975451612
4,0.795927348246537,0.08991918066215188,0.11415347109131119
5,0.8100486709413002,0.08706870287860267,0.1028826261800972
6,0.8078041373150534,0.09830878029666763,0.09388708238827874
7,0.7960083633498048,0.08306540030521431,0.12092623634498088
8,0.7992840893851023,0.08405478217743767,0.11666112843746007
9,0.8137004260749306,0.0854140936187454,0.10088548030632404
10,0.8096797218869104,0.08624870100666862,0.10407157710642087
11,0.7776040406665037,0.07066591708862899,0.15173004224486733
12,0.8051340905164209,0.09620793094281993,0.09865797854075908
13,0.8020214788175168,0.09439400450583876,0.1035845166766444
14,0.8050066373546014,0.07932237035327765,0.115670992292121
15,0.8099318718574852,0.09400943175465136,0.09605869638786343
16,0.8034450406348734,0.10484060786301752,0.09171435150210908
17,0.8118836301097639,0.08621688773717108,0.10189948215306484
18,0.8160855094939663,0.08884827323554947,0.0950662172704843
19,0.8106054738151492,0.08564437464757296,0.10375015153727775
20,0.8050983156776151,0.0682708824566452,0.1266308018657396
21,0.7441064021809103,0.15690404968210125,0.09898954813698847
22,0.8091314416397049,0.0871606524960568,0.1037079058642384
23,0.7944187327164546,0.08710327888394942,0.11847798839959599
24,0.8091940690346202,0.08624697937564425,0.10455895158973542
25,0.8001158647579351,0.09183807920689088,0.10804605603517395
26,0.8049922102827709,0.06885807303944955,0.12614971667777955
27,0.7981579628440693,0.05772001898575152,0.1441220181701792
28,0.7953430493781521,0.08045401001955142,0.12420294060229653
29,0.799067297993846,0.100891003794234,0.10004169821191995
30,0.7797958677188505,0.10103911696109187,0.11916501532005752
31,0.8034739578020835,0.09260827378642947,0.10391776841148696
32,0.7988601432356345,0.08365570930717876,0.1174841474571868
33,0.7971817749057283,0.08240207585947203,0.12041614923479982
34,0.8040732291776356,0.09308945492808557,0.10283731589427889
35,0.790943094045945,0.07879753295071122,0.13025937300334392
36,0.8100046793921735,0.08017323819841117,0.10982208240941546
37,0.8106222516387761,0.11096902495288534,0.07840872340833857
38,0.7970704120872479,0.08569245010561212,0.1172371378071398
